Column1,original,                              correct
,teserrufatlarda ,təsərrüfatlarda 
,tenzimlenmesine ,tənzimlənməsinə 
,temsilcilerinin ,təmsilçilərinin 
,temsilciliyinin ,təmsilçiliyinin 
,tehlukesizlikde ,təhlükəsizlikdə 
,tedris-metodiki ,tədris-metodiki 
,tullantilarinin ,tullantılarının 
,torpaqlarindaki ,torpaqlarındakı 
,tamasalarindaki ,tamaşalarındakı 
,seslendirmisdir ,səsləndirmişdir 
,sehnelesdirilir ,səhnələşdirilir 
,seciyyelendiren ,səciyyələndirən 
,subyektlerinden ,subyektlərindən 
,spermatozoidler ,spermatozoidlər 
,soyuqqanliliqla ,soyuqqanlılıqla 
,saxlanilmasinda ,saxlanılmasında 
,sanksiyalarinin ,sanksiyalarının 
,riyaziyyatcilar ,riyaziyyatçılar 
,respublikalarda ,respublikalarda 
,reaksiyalarinin ,reaksiyalarının 
,razilasdirilmis ,razılaşdırılmış 
,radioqebuledici ,radioqəbuledici 
,qiciqlandirirdi ,qıcıqlandırırdı 
,quvvetlendirmek ,qüvvətləndirmək 
,qaytarilmasinda ,qaytarılmasında 
,qarsidurmasinin ,qarşıdurmasının 
,qaldirilmasinda ,qaldırılmasında 
,pencerelerinden ,pəncərələrindən 
,psixoterapevtik ,psixoterapevtik 
,preparatlarinin ,preparatlarının 
,prefekturasinin ,prefekturasının 
,peripatetikleri ,peripatetikləri 
,pedaqoqlarindan ,pedaqoqlarından 
,patofiziologiya ,patofiziologiya 
,parametrlerinin ,parametrlərinin 
,operettalarinda ,operettalarında 
,nezeriyyesinden ,nəzəriyyəsindən 
,nezeriyyelerini ,nəzəriyyələrini 
,nevelerindendir ,nəvələrindəndir 
,neslindendirler ,nəslindəndirlər 
,numayendeliyine ,nümayəndəliyinə 
,numayendeliyini ,nümayəndəliyini 
,novmuxtelifliyi ,növmüxtəlifliyi 
,nominasiyasinin ,nominasiyasının 
,nizamlanmasinda ,nizamlanmasında 
,nailiyyetlerden ,nailiyyətlərdən 
,mesquliyyetinin ,məşğuliyyətinin 
,meslehetcisidir ,məsləhətçisidir 
,merhelesindedir ,mərhələsindədir 
,mehellelerinden ,məhəllələrindən 
,mehsuldarliqina ,məhsuldarlığına 
,mehrumiyyetleri ,məhrumiyyətləri 
,medeniyyetimizi ,mədəniyyətimizi 
,muxtelifliyinin ,müxtəlifliyinin 
,muxteliflikleri ,müxtəliflikləri 
,munasibetlerden ,münasibətlərdən 
,mukellefiyyetci ,mükəlləfiyyətçi 
,muhendis-geoloq ,mühəndis-geoloq 
,muharibelerinde ,müharibələrində 
,monoqrafiyasini ,monoqrafiyasını 
,milletcilerinin ,millətçilərinin 
,milliyyetciliyi ,milliyyətçiliyi 
,millilesdirildi ,milliləşdirildi 
,mikroelementler ,mikroelementlər 
,maarifciliyinin ,maarifçiliyinin 
,laxtalanmasinin ,laxtalanmasının 
,laboratoriyanin ,laboratoriyanın 
,laboratoriyalar ,laboratoriyalar 
,koordinatorudur ,koordinatorudur 
,konsertmeysteri ,konsertmeysteri 
,konsepsiyalarin ,konsepsiyaların 
,konsentrasiyasi ,konsentrasiyası 
,kompozisiyalara ,kompozisiyalara 
,komplekslerinin ,komplekslərinin 
,komediyalarinda ,komediyalarında 
,kombinasiyasini ,kombinasiyasını 
,kombinasiyalari ,kombinasiyaları 
,komandanliqinin ,komandanlığının 
,komandalarindan ,komandalarından 
,kitabxanalardan ,kitabxanalardan 
,kinorejissorluq ,kinorejissorluq 
,kifayetlenmemis ,kifayətlənməmiş 
,kateqoriyalarin ,kateqoriyaların 
,karvansaralarin ,karvansaraların 
,kampaniyalardan ,kampaniyalardan 
,isqalcilarindan ,işğalçılarından 
,isledilmekdedir ,işlədilməkdədir 
,istiqametverici ,istiqamətverici 
,istifadecisinin ,istifadəçisinin 
,irelileyirdiler ,irəliləyirdilər 
,iqtisadiyyatdan ,iqtisadiyyatdan 
,iqtisadi-siyasi ,iqtisadi-siyasi 
,İndi ne olub Size,İndi nə olub Sizə
,Dasqinlar basladi,Daşqınlar başladı
,Alinma leksika ,Alınma leksika 
,Dilin siveleri ,Dilin şivələri 
,Antroponimler ,Antroponimlər 
,Meselen Guz payiz,Məsələn Güz payız
,Kimdir eziz qonaq,Kimdir əziz qonaq
,Ruhlari sad olsun,Ruhları şad olsun
,DİQQeT SAXTA NesR,DİQQƏT SAXTA NƏŞR
,Tedqiqatin metodu,Tədqiqatın metodu
,DİGeR MeQALeLeR ,DİGƏR MƏQALƏLƏR 
,ehalinin nezerine,Əhalinin nəzərinə
,İmamzade caqir onu,İmamzadə çağır onu
,Musiqi gerekdirmi,Musiqi gərəkdirmi
,Talis mahnilari ,Talış mahnıları 
,Metn numuneleri ,Mətn nümunələri 
,Tanrinin sozu ile,Tanrının sözü ilə
,Baxmaqi unutmayin,Baxmağı unutmayın
,İlk zerbeni aldim,İlk zərbəni aldım
,Bax Yene oradasan,Bax Yenə oradasan
,Genis ictimaiyyet,Geniş ictimaiyyət
,saati de mene,saatı de mənə
,İstiqrazlar Giris,İstiqrazlar Giriş
,Doqum tarixiniz ,Doğum tarixiniz 
,PETİSİYANI İMZALA,PETİSİYANI İMZALA
,Tedqiqat goster,Tədqiqat göstər
,nedir gulum,nədir gülüm
,ona baxma sen,ona baxma sən
,oz isini gor sen,öz işini gör sən
,Murekkeb sifetler,Mürəkkəb sifətlər
,evvelen biz kimik,Əvvələn biz kimik
,Qeyri-normal sira,Qeyri-normal sıra
,cutterkibli cumle,cüttərkibli cümlə
,Tekterkibli cumle,Təktərkibli cümlə
,Gecenin ortasidir,Gecənin ortasıdır
,Orta veziyyetde ,Orta vəziyyətdə 
,Gordum danisiqdan,Gördüm danışıqdan
,Vaqonlarda sahini gordum,Vaqonlarda Şahini gördüm
,Ziddiyyet elaqesi,Ziddiyyət əlaqəsi
,teze nesri cixdi kitabimin,təzə nəşri çıxdı kitabımın
,Bakida zoopark,Bakıda zoopark
,Baki Genclik stansiyasi,Bakı Gənclik stansiyası
,Baki Maarif terefi,Bakı Maarif tərəfi
,Bu turkler kimdir,Bu türklər kimdir
,Qehremansoy Mahar,Qəhrəmansoy Mahar
,Veten esqi qezeti,Vətən eşqi qəzeti
,Secilmis eserleri,Seçilmiş əsərləri
,secilmis insan,seçilmiş insan
,Elmi redaktorlari,Elmi redaktorları
,Apofeoz canaqqala,Apofeoz Çanaqqala
,Kabinete yiqisdiq,Kabinetə yığışdıq
,İlyas Tapdiq sair,İlyas Tapdıq şair
,Hormetli qonaqlar,Hörmətli qonaqlar
,Bele de olmalidir,Belə də olmalıdır
,İxtisas secimi ,İxtisas seçimi 
,icaze verilmisdir,icazə verilmişdir
,Qebul imtahani ,Qəbul imtahanı 
,Hamisi Sunnidirler,Hamısı Sünnidirlər
,Her kese daqidilir,Hər kəsə dağıdılır
,Sizә soz verirәm.,Sizә söz verirәm.
,Tualetler harada?,Tualetlər harada?
,Boyuk sirr nedir?,Böyük sirr nədir?
,corek teze deyil.,Çörək təzə deyil.
,cetirini itirdin.,Çətirini itirdin.
,Cehd ede bilerik.,Cəhd edə bilərik.
,Qilinc isteyirem!,Qılınc istəyirəm!
,Bir alma yeyirem.,Bir alma yeyirəm.
,Mektebe getmisdi.,Məktəbə getmişdi.
,Mektebine getdim.,Məktəbinə getdim.
,Onu seve bilerem.,Onu sevə bilərəm.
,"Saq ol, yaxsiyam.","Sağ ol, yaxşıyam."
,Yasamam lazimdir.,Yaşamam lazımdır.
,Bir mahni oxudum.,Bir mahnı oxudum.
,Men yoldasinammi?,Mən yoldaşınammı?
,Goy bir evim var.,Göy bir evim var.
,Sen gozel qizsan.,Sən gözəl qızsan.
,Bakida yasayiram.,Bakıda yaşayıram.
,Sandvic yeyirdim.,Sandviç yeyirdim.
,Birden fren etme.,Birdən fren etmə.
,Ata mine bilerem.,Ata minə bilərəm.
,Diktator deyilem.,Diktator deyiləm.
,Men xain deyilem.,Mən xain deyiləm.
,Narkoman deyilem.,Narkoman deyiləm.
,Men qisqanc idim.,Mən qısqanc idim.
,Men xosbext idim.,Mən xoşbəxt idim.
,Gece qaranliqdir.,Gecə qaranlıqdır.
,Tehran İrandadir.,Tehran İrandadır.
,Tehran haradadir?,Tehran haradadır?
,Menim vaxtim yox.,Mənim vaxtım yox.
,Meri qapini acib.,Məri qapını açıb.
,Yatmaq isteyirem!,Yatmaq istəyirəm!
,esla onu demeyin.,Əsla onu deməyin.
,Kisiler donuzdur.,Kişilər donuzdur.
,Davam edin.,Davam edin.
,Men istedadliyam?,Mən istedadlıyam?
,"O, cox mesquldur.","O, çox məşğuldur."
,Onu pulsuz aldim.,Onu pulsuz aldım.
,Pisiyim islaqdir.,Pişiyim islaqdır.
,O meni terk etdi.,O məni tərk etdi.
,"O , nezaketlidir.","O , nəzakətlidir."
,Onu mehv etdiler.,Onu məhv etdilər.
,Tom indi oradadir.,Tom indi oradadır.
,bele olmayin.,belə olmayın.
,Tom sifonu cekdi.,Tom sifonu çəkdi.
,Hitomini sevirem.,Hitomini sevirəm.
,Almalari sevirem.,Almaları sevirəm.
,Men gelmeyeceyem.,Mən gəlməyəcəyəm.
,Hec bir iz qoyma.,Heç bir iz qoyma.
,Yatmaq isteyirem.,Yatmaq istəyirəm.
,O seni ele salir.,O səni ələ salır.
,Bu menim evimdir.,Bu mənim evimdir.
,Bes sebeb ne idi?,Bəs səbəb nə idi?
,Tom hovuzda uzur.,Tom hovuzda üzür.
,"İndi yox, ezizim!","İndi yox, əzizim!"
,Siz haqli idiniz.,Siz haqlı idiniz.
,Siz buddistsiniz?,Siz buddistsiniz?
,Bu senin itindir.,Bu sənin itindir.
,ordek yoxa cixdi.,Ördək yoxa çıxdı.
,Bu qapilari acin!,Bu qapıları açın!
,Bu senin evindir.,Bu sənin evindir.
,O siqaret cekmir.,O siqaret çəkmir.
,Sen men deyilsen.,Sən mən deyilsən.
,O mukemmel deyil.,O mükəmməl deyil.
,Men ne demeliyem?,Mən nə deməliyəm?
,Artiq hami gelib?,Artıq hamı gəlib?
,Biz bunu bilirik.,Biz bunu bilirik.
,Bu cox balacadir.,Bu çox balacadır.
,O it sekli cekdi.,O it şəkli çəkdi.
,Bunu mene gonder.,Bunu mənə göndər.
,"O, mektebe getdi.","O, məktəbə getdi."
,Bu alma sirindir.,Bu alma şirindir.
,Biz alma yeyirik.,Biz alma yeyirik.
,Almani men yedim.,Almanı mən yedim.
,Men alma yeyirem.,Mən alma yeyirəm.
,Men alma yiqiram.,Mən alma yığıram.
,Bu cib luqetidir.,Bu cib lüğətidir.
,Biz İtaliyadayiq.,Biz İtaliyadayıq.
,Men İtaliyadanam.,Mən İtaliyadanam.
,İte biraz et ver.,İtə biraz ət ver.
,Men Serbiyadanam.,Mən Serbiyadanam.
,Men Ekvadordanam.,Mən Ekvadordanam.
,Gozlerinizi acin.,Gözlərinizi açın.
,Onlar dostdurlar?,Onlar dostdurlar?
,Xosbextlik nedir?,Xoşbəxtlik nədir?
,Senin adin nedir?,Sənin adın nədir?
,Tom birini tapdi.,Tom birini tapdı.
,Masin isteyirsen?,Maşın istəyirsən?
,Tom cox varlidir.,Tom çox varlıdır.
,O usaqlari sevir.,O uşaqları sevir.
,Sen cox gozelsen.,Sən çox gözəlsən.
,Onlar qacmadilar.,Onlar qaçmadılar.
,Yeriye bilmirdim.,Yeriyə bilmirdim.
,Men yoxlamamisam.,Mən yoxlamamışam.
,Gozleye bilmedim.,Gözləyə bilmədim.
,ureyimi qirirsan.,Ürəyimi qırırsan.
,Oxu ve cavab ver.,Oxu və cavab ver.
,Sene soyuq deyil?,Sənə soyuq deyil?
,Quslar oxuyurlar.,Quşlar oxuyurlar.
,Men davam edeceyem.,Mən davam edəcəyəm.
,Tezlikle bilerik.,Tezliklə bilərik.
,Bu masin qaradir.,Bu maşın qaradır.
,Biz seni esitdik.,Biz səni eşitdik.
,Men qoca kisiyem.,Mən qoca kişiyəm.
,Men is axtariram.,Mən iş axtarıram.
,"Men evdeyem, Tom.","Mən evdəyəm, Tom."
,Meshur olacaqsan.,Məşhur olacaqsan.
,O musiqini sevir.,O musiqini sevir.
,Limonad soyuqdur.,Limonad soyuqdur.
,Bir saniye gozle.,Bir saniyə gözlə.
,Tom zeng vuracaq.,Tom zəng vuracaq.
,O xeyli is gordu.,O xeyli iş gördü.
,Bir deqiqe gozle.,Bir dəqiqə gözlə.
,Biz onu gormusuk.,Biz onu görmüşük.
,Mene yaxin gelme!,Mənə yaxın gəlmə!
,Menden qorxursan?,Məndən qorxursan?
,Men muellim idim.,Mən müəllim idim.
,Bu menim atamdir.,Bu mənim atamdır.
,Onlar azaddirlar.,Onlar azaddırlar.
,Tualet haradadir?,Tualet haradadır?
,Korpe hele yatir.,Körpə hələ yatır.
,Biz sizi sevirik.,Biz sizi sevirik.
,Biz seni sevirik.,Biz səni sevirik.
,Tom sizi istemir.,Tom sizi istəmir.
,Tom seni istemir.,Tom səni istəmir.
,"O, masinda yatdi.","O, maşında yatdı."
,Men yazi sevirem.,Mən yazı sevirəm.
,Bu stol temizdir.,Bu stol təmizdir.
,Baxmaq istemirem.,Baxmaq istəmirəm.
,Onlar razidirlar.,Onlar razıdırlar.
,Biz dost deyilik.,Biz dost deyilik.
,Bu Kopakabanadir.,Bu Kopakabanadır.
,Bayirda soyuqdur.,Bayırda soyuqdur.
,Heyat davam edir.,Həyat davam edir.
,Men tehlukeliyem.,Mən təhlükəliyəm.
,Onlarin oqlu var.,Onların oğlu var.
,İndi yaqis yaqir?,İndi yağış yağır?
,Tom seni tapacaq.,Tom səni tapacaq.
,Tom sizi tapacaq.,Tom sizi tapacaq.
,Seni ne qorxutdu?,Səni nə qorxutdu?
,Sizi ne qorxutdu?,Sizi nə qorxutdu?
,Maraqimi itirdim.,Marağımı itirdim.
,O her seyi gordu.,O hər şeyi gördü.
,Tom basa dusmedi.,Tom başa düşmədi.
,Tomun masini var.,Tomun maşını var.
,Bu kitabi oxuyun!,Bu kitabı oxuyun!
,O bunu nece edir?,O bunu necə edir?
,Sizi gozlemirdim.,Sizi gözləmirdim.
,Seni gozlemirdim.,Səni gözləmirdim.
,ureyine qulaq as!,Ürəyinə qulaq as!
,Basinizi isledin!,Başınızı işlədin!
,Sizin etiniz var.,Sizin ətiniz var.
,Gunes isiq sacir.,Günəş işıq saçır.
,Qusmaq isteyirem.,Qusmaq istəyirəm.
,Men qan itirirem.,Mən qan itirirəm.
,Bu sadece qandir.,Bu sadəcə qandır.
,Biz qan itiririk.,Biz qan itiririk.
,Kitab yeni deyil.,Kitab yeni deyil.
,Tomu gozleyirsen?,Tomu gözləyirsən?
,Aq badimcan olur?,Ağ badımcan olur?
,Tom lulqenberdir.,Tom lülqənbərdir.
,O taqetden dusub.,O taqətdən düşüb.
,Men kaktus aldim.,Mən kaktus aldım.
,Kahini yumaliyam?,Kahını yumalıyam?
,Gel qarpiz yeyek!,Gəl qarpız yeyək!
,Donuz cehrayidir.,Donuz çəhrayıdır.
,Toyuq cehrayidir.,Toyuq çəhrayıdır.
,Marsda heyat var?,Marsda həyat var?
,Onun uc oqlu var.,Onun üç oğlu var.
,Onun uc qizi var.,Onun üç qızı var.
,cay tehlukelidir.,Çay təhlükəlidir.
,cay sakitce axir.,Çay sakitcə axır.
,Men masinda idim.,Mən maşında idim.
,Men Zambiyadanam.,Mən Zambiyadanam.
,Tamamile raziyam.,Tamamilə razıyam.
,Londonda olmusan?,Londonda olmusan?
,Men tercumeciyem.,Mən tərcüməçiyəm.
,Ona pul lazimdir.,Ona pul lazımdır.
,Saqqizi ceynedim.,Saqqızı çeynədim.
,Sen yaxsi anasan.,Sən yaxşı anasan.
,Pul pulu getirer.,Pul pulu gətirər.
,Tom bu gun gelir.,Tom bu gün gəlir.
,Tom almani soydu.,Tom almanı soydu.
,Bu alma aqacidir.,Bu alma ağacıdır.
,Tom limonu sixdi.,Tom limonu sıxdı.
,Toma fikir verme.,Toma fikir vermə.
,Men buna layiqem.,Mən buna layiqəm.
,O xosunuza geldi?,O xoşunuza gəldi?
,Hava mulayim idi.,Hava mülayim idi.
,Reqbi oynayirdiq.,Reqbi oynayırdıq.
,Pise doqru gedir.,Pisə doğru gedir.
,Tom ela adam idi.,Tom əla adam idi.
,Onlar penceredir.,Onlar pəncərədir.
,Tom da yehudidir.,Tom da yəhudidir.
,Tom yehudi deyil.,Tom yəhudi deyil.
,İslandiya adadir.,İslandiya adadır.
,Biz kahi yuyuruq.,Biz kahı yuyuruq.
,Soqan xoslamiram.,Soğan xoşlamıram.
,Sen eti duzladin.,Sən əti duzladın.
,cin xosuna gelir?,Çin xoşuna gəlir?
,Men Limburqdanam.,Mən Limburqdanam.
,Evde yemek varmi?,Evdə yemək varmı?
,etin dadi pisdir.,Ətin dadı pisdir.
,Tom bunu bilirdi.,Tom bunu bilirdi.
,O mahni oxuyurdu.,O mahnı oxuyurdu.
,O mene asiq oldu.,O mənə aşiq oldu.
,Menim usaqim var idi.,Mənim uşağım var idi.
,Menim usaqim var.,Mənim uşağım var.
,Men sert insanam.,Mən sərt insanam.
,Soyuq su icmirem.,Soyuq su içmirəm.
,Meni masin vurdu.,Məni maşın vurdu.
,Biz cox xesteyik.,Biz çox xəstəyik.
,AZN-dek artirildi,AZN-dək artırıldı
,umumi hecmi 1 mln,Ümumi həcmi 1 mln
,cekce de,Çekcə de
,Yoqunluqu coxdur,Yoğunluğu çoxdur
,İrlanda mehkemesi,İrlanda məhkəməsi
,İrlanda Hokumeti ,İrlanda Höküməti 
,Balaca cixdi,Balaca çıxdı
,Basqan yardimcisi,Başqan yardımcısı
,Makedonya krali ,Makedonya kralı 
,Danis İsleri,Daniş İşləri
,arada gedirdin ora,arada gedirdin ora
,mene bax sen,mənə bax sən
,ot qutarib,ot qutarıb
,Kisi basina,Kişi başına
,Son Krali,Son Kralı
,oncesi dramadir,öncəsi dramadır
,Savadsiz kutleden,Savadsız kütlədən
,Ferq bax bundadir,Fərq bax bundadır
,Niye de olmalidir,Niyə də olmalıdır
,Yaralilar olubdur,Yaralılar olubdur
,Bura cox gozeldir,Bura çox gözəldir
,Bu da sah eserdir,Bu da şah əsərdir
,Hemise Sizinleyik,Həmişə Sizinləyik
,Poct muessiseleri,Poçt müəssisələri
,Memmedov eliyusif,Məmmədov Əliyusif
,Baki Nurlar alemi,Bakı Nurlar aləmi
,Baqman hissesinde,Bağman hissəsində
,Ancaq sual olunur,Ancaq sual olunur
,İctimai etimad ,İctimai etimad 
,sikayet huququ ,Şikayət hüququ 
,Bu nece bas verdi,Bu necə baş verdi
,Tamamile doqrudur,Tamamilə doğrudur
,Biz bunu gormuruk,Biz bunu görmürük
,Oradan ayrildilar,Oradan ayrıldılar
,Bir Alman usaqdir,Bir Alman uşaqdır
,cox seyler gordum,Çox şeylər gördüm
,Oyun pis alinmadi,Oyun pis alınmadı
,min nefer idi,min nəfər idi
,olkenin erazisi ,Ölkənin ərazisi 
,Vaqifin bustu,Vaqifin büstü
,Qaybali Mescidi ,Qaybalı Məscidi 
,Resm Qalereyasi ,Rəsm Qalereyası 
,ne deye bilerem,nə deyə bilərəm
,dur qalx ayaqa,dur qalx ayağa
,Hec heveslenmesin,Heç həvəslənməsin
,Yox dedim,Yox dedim
,Bu rusvayciliqdir,Bu rüsvayçılıqdır
,Poct hesabi nedir,Poçt hesabı nədir
,Kredit İttifaqi ,Kredit İttifaqı 
,adlandirilmisdir ,adlandırılmışdır 
,xususiyyetlerini ,xüsusiyyətlərini 
,kinostudiyasinda ,kinostudiyasında 
,dissertasiyasini ,dissertasiyasını 
,munasibetlerinin ,münasibətlərinin 
,xususiyyetlerine ,xüsusiyyətlərinə 
,iqtisadiyyatinin ,iqtisadiyyatının 
,vitse-prezidenti ,vitse-prezidenti 
,numayendelerinin ,nümayəndələrinin 
,Assosiasiyasinin ,Assosiasiyasının 
,azerbaycanlilara ,azərbaycanlılara 
,mueyyenlesdirmek ,müəyyənləşdirmək 
,qiymetlendirilir ,qiymətləndirilir 
,yaradicilarindan ,yaradıcılarından 
,qanunvericilikle ,qanunvericiliklə 
,personajlarindan ,personajlarından 
,aspiranturasinda ,aspiranturasında 
,tehlukesizliyini ,təhlükəsizliyini 
,munasibetlerinde ,münasibətlərində 
,azerbaycanlilari ,azərbaycanlıları 
,maddi-medeniyyet ,maddi-mədəniyyət 
,istirakcilarinin ,iştirakçılarının 
,Konstitusiyasina ,Konstitusiyasına 
,universitetlerde ,universitetlərdə 
,yaradiciliqindan ,yaradıcılığından 
,serkerdelerinden ,sərkərdələrindən 
,qehremanlarindan ,qəhrəmanlarından 
,qebristanliqinda ,qəbristanlığında 
,qurasdirilmisdir ,quraşdırılmışdır 
,ozellesdirilmesi ,özəlləşdirilməsi 
,materiallarindan ,materiallarından 
,iqtisadiyyatinda ,iqtisadiyyatında 
,ictimai-iqtisadi ,ictimai-iqtisadi 
,deyisdirilmisdir ,dəyişdirilmişdir 
,cezalandiracaqam ,cəzalandıracağam 
,texnologiyalarin ,texnologiyaların 
,kitabxanalarinda ,kitabxanalarında 
,investisiyalarin ,investisiyaların 
,Filarmoniyasinin ,Filarmoniyasının 
,emeliyyatlarinin ,əməliyyatlarının 
,cempionatlarinda ,çempionatlarında 
,terefdarlarindan ,tərəfdarlarından 
,texnologiyasinin ,texnologiyasının 
,selahiyyetlerine ,səlahiyyətlərinə 
,selahiyyetlerini ,səlahiyyətlərini 
,redaksiyalarinda ,redaksiyalarında 
,qanunvericilikde ,qanunvericilikdə 
,noqteyi-nezerden ,nöqteyi-nəzərdən 
,meqlubiyyetinden ,məğlubiyyətindən 
,komissiyalarinin ,komissiyalarının 
,imperatorluqunun ,imperatorluğunun 
,elmi-publisistik ,elmi-publisistik 
,avtomobillerinin ,avtomobillərinin 
,emeliyyatlarinda ,əməliyyatlarında 
,nailiyyetlerinin ,nailiyyətlərinin 
,hakimiyyetlerini ,hakimiyyətlərini 
,arasdirmalarinda ,araşdırmalarında 
,elaqelendirirler ,əlaqələndirirlər 
,umumilesdirilmis ,ümumiləşdirilmiş 
,catismazliqindan ,çatışmazlığından 
,yerlesdirilmisdi ,yerləşdirilmişdi 
,yarimmudafiecisi ,yarımmüdafiəçisi 
,yarimkeciriciler ,yarımkeçiricilər 
,uyqunlasdirilmis ,uyğunlaşdırılmış 
,parcalanmasindan ,parçalanmasından 
,numayendeliyinin ,nümayəndəliyinin 
,laboratoriyalari ,laboratoriyaları 
,kinostudiyasinin ,kinostudiyasının 
,istiqametlerinde ,istiqamətlərində 
,informasiyalarin ,informasiyaların 
,dissertasiyalari ,dissertasiyaları 
,Konservatoriyasi ,Konservatoriyası 
,İmperatorluqunun ,İmperatorluğunun 
,ustunluklerinden ,üstünlüklərindən 
,numayendelikleri ,nümayəndəlikləri 
,genislendirilmis ,genişləndirilmiş 
,eksperimentlerin ,eksperimentlərin 
,dramaturqlarinin ,dramaturqlarının 
,dayandirilmisdir ,dayandırılmışdır 
,arxitekturasinin ,arxitekturasının 
,adet-enenelerine ,adət-ənənələrinə 
,Universitetlerin ,Universitetlərin 
,Universitetinden ,Universitetindən 
,valideynlerinden ,valideynlərindən 
,tenzimlenmesinin ,tənzimlənməsinin 
,qiymetlendirilib ,qiymətləndirilib 
,qiymetlendirildi ,qiymətləndirildi 
,monoqrafiyalarin ,monoqrafiyaların 
,modifikasiyalari ,modifikasiyaları 
,gosterilmekdedir ,göstərilməkdədir 
,funksiyalarindan ,funksiyalarından 
,arasdirilmasinda ,araşdırılmasında 
,administrasiyasi ,administrasiyası 
,adlandirmisdilar ,adlandırmışdılar 
,Sankt-Peterburqa ,Sankt-Peterburqa 
,Konstantinopolun ,Konstantinopolun 
,Filarmoniyasinda ,Filarmoniyasında 
,ehval-ruhiyyenin ,əhval-ruhiyyənin 
,sekilcisindendir ,şəkilçisindəndir 
,sehadetnamesinin ,şəhadətnaməsinin 
,cempionatlarinin ,çempionatlarının 
,yetisdirilmesine ,yetişdirilməsinə 
,yetisdirilmisdir ,yetişdirilmişdir 
,tehlukesizliyine ,təhlükəsizliyinə 
,tarix-filologiya ,tarix-filologiya 
,senetkarlarindan ,sənətkarlarından 
,silahdaslarindan ,silahdaşlarından 
,qebirstanliqinda ,qəbirstanlığında 
,qurtaracaqinadek ,qurtaracağınadək 
,qulaqciq-medecik ,qulaqcıq-mədəcik 
,qiymetlendirmeye ,qiymətləndirməyə 
,qiymetlendirilen ,qiymətləndirilən 
,qanunvericiliyin ,qanunvericiliyin 
,qabiliyyetlerini ,qabiliyyətlərini 
,planlasdirilmasi ,planlaşdırılması 
,olimpiadalarinda ,olimpiadalarında 
,meslehetlesmeler ,məsləhətləşmələr 
,mehdudlasdirilir ,məhdudlaşdırılır 
,mueyyenlesdirmis ,müəyyənləşdirmiş 
,mutexessislerden ,mütəxəssislərdən 
,mohkemlenmesinde ,möhkəmlənməsində 
,kompozisiyasinda ,kompozisiyasında 
,arxitekturasinda ,arxitekturasında 
,esaslandirmisdir ,əsaslandırmışdır 
,yeyib-qurtaracaq ,yeyib-qurtaracaq 
,yenilesdirilmesi ,yeniləşdirilməsi 
,xususiyyetlerden ,xüsusiyyətlərdən 
,uzaqlasdirilmasi ,uzaqlaşdırılması 
,tenzimlenmesinde ,tənzimlənməsində 
,tekmillesdirerek ,təkmilləşdirərək 
,tedqiqatcilardan ,tədqiqatçılardan 
,tullantilarindan ,tullantılarından 
,teatrlasdirilmis ,teatrlaşdırılmış 
,rejissorlarindan ,rejissorlarından 
,qeyri-rezidentin ,qeyri-rezidentin 
,qabaqcillarindan ,qabaqcıllarından 
,peyqemberlerinin ,peyğəmbərlərinin 
,numayendeleridir ,nümayəndələridir 
,neytrallasdirmaq ,neytrallaşdırmaq 
,medeniyyetindeki ,mədəniyyətindəki 
,medeniyyetimizin ,mədəniyyətimizin 
,muessiselerinden ,müəssisələrindən 
,muveffeqiyyetler ,müvəffəqiyyətlər 
,muhendis-texniki ,mühəndis-texniki 
,mudafiecilerinin ,müdafiəçilərinin 
,mohkemlendirildi ,möhkəmləndirildi 
,mikroorqanizmler ,mikroorqanizmlər 
,magistraturasini ,magistraturasını 
,kulturologiyanin ,kulturologiyanın 
,korporasiyasinin ,korporasiyasının 
,konservatoriyada ,konservatoriyada 
,kompozisiyasinin ,kompozisiyasının 
,komandirlerinden ,komandirlərindən 
,komandanlarindan ,komandanlarından 
,kollektivlerinin ,kollektivlərinin 
,karbohidrogenler ,karbohidrogenlər 
,isiqlandirilmasi ,işıqlandırılması 
,isiqlandirmisdir ,işıqlandırmışdır 
,istiqlaliyyetini ,istiqlaliyyətini 
,istifadesindedir ,istifadəsindədir 
,iqtisadi-coqrafi ,iqtisadi-coğrafi 
,hekim-oftalmoloq ,həkim-oftalmoloq 
,hazirlayanlardan ,hazırlayanlardan 
,hazirlanmamisdir ,hazırlanmamışdır 
,ensiklopediyanin ,ensiklopediyanın 
,ensiklopediyalar ,ensiklopediyalar 
,ekranlasdirilmis ,ekranlaşdırılmış 
,deyisikliklerden ,dəyişikliklərdən 
,deyisdirilmesine ,dəyişdirilməsinə 
,cezalandirilmasi ,cəzalandırılması 
,cinayetkarlardan ,cinayətkarlardan 
,bolusdurulmesini ,bölüşdürülməsini 
,birlesmelerinden ,birləşmələrindən 
,arqumentlesdirme ,arqumentləşdirmə 
,antropologiyanin ,antropologiyanın 
,aktivlesdirilmis ,aktivləşdirilmiş 
,akademiyalarinin ,akademiyalarının 
,Zulqederoqullari ,Zülqədəroğulları 
,oqlun olsun aqlin olsun,oğlun olsun ağlın olsun
,Standartlasdirma ,Standartlaşdırma 
,Qaraqoyunlularin ,Qaraqoyunluların 
,Qarakopektepenin ,Qaraköpəktəpənin 
,uzume vurma,üzümə vurma
,esaslandirilmasi ,əsaslandırılması 
